ID,Site,Mail_Consent,Email_Consent,Tier,City,Country,Age,Age_Group,Gender,Twelve_Month_ADT,Six_Month_ADT,Three_Month_ADT,One_Month_ADT,Twelve_Month_Theo_NW,Six_Month_Theo_NW,Three_Month_Theo_NW,One_Month_Theo_NW,Twelve_Month_Actual_NW,Six_Month_Actual_NW,Three_Month_Actual_NW,One_Month_Actual_NW,Twelve_Month_Trips,Six_Month_Trips,Three_Month_Trips,One_Month_Trips,Number_of_Comps_Taken_12_Months,Value_of_Comps_Taken_12_Months,Twelve_Month_Net_Comp ,Number_of_Comps_Taken_3_Months,Value_of_Comps_Taken_3_Months,Three_Month_Net_Comp ,Number_of_Comps_Taken_1_Month,Value_of_Comps_Taken_1_Month,One_Month_Net_Comp ,Lapse
700297,WB,N,Y,GOLD   ,MISSISSAUGA,Canada,64,59-66,MALE  ,418.5584551,363.9441932,362.7726833,265.88985,16323.77975,8006.77225,5441.59025,797.66955,16553.29,6478.29,3282.29,2031.88,39,22,15,3,4,216,1089.90238,2,108,327.32722,0,0,63.813564,No Lapse
700298,WB,N,Y,GOLD   ,BRAMPTON,Canada,40,35-42,MALE  ,478.2350719,625.5174479,419.7849152,368.1494483,27259.3991,15637.9362,5457.203897,1472.597793,19546.14,6717.14,5203.14,2695.66,57,25,13,4,17,755,1425.751928,4,128,308.5763118,1,22,95.80782344,No Lapse
700300,WB,N,Y,REWARDS,TORONTO,Canada,28,27-34,MALE  ,241.4749353,273.7782232,266.9219792,151.517266,6761.298188,5749.342688,4003.829688,606.069064,8068.51,7027.51,3366.51,1805.6,28,21,15,4,1,60,480.903855,0,0,320.306375,0,0,48.48552512,No Lapse
700311,WB,Y,Y,GOLD   ,BRAMPTON,Canada,56,51-58,MALE  ,937.9397123,995.4957215,1364.914966,1197.049718,40331.40763,19909.91443,10919.31973,3591.149155,33811.1,18117.1,11960.1,4474.5,43,20,8,3,86,1092,2134.51261,16,200,673.5455784,6,75,212.2919324,No Lapse
700313,WB,Y,Y,GOLD   ,TORONTO,Canada,68,67-74,FEMALE,363.6061,0,0,0,363.6061,0,0,0,494,0,0,0,1,0,0,0,0,0,29.088488,0,0,0,0,0,0,6 Month Lasped
700346,WB,N,N,GOLD   ,NORTH YORK,Canada,52,51-58,MALE  ,460.7073461,232.6965913,290.964146,138.37176,14281.92773,1861.57273,1454.82073,276.74352,4286.65,3183.65,2365.65,484.17,31,8,5,2,20,715,427.5542184,3,110,6.3856584,1,40,-17.8605184,No Lapse
700353,WB,Y,Y,REWARDS,SCARBOROUGH,Canada,51,51-58,FEMALE,267.148685,292.6033811,299.354286,203.066695,4808.67633,2633.43043,1496.77143,406.13339,5986.33,3098.33,1940.33,800.73,18,9,5,2,14,262,122.6941064,4,62,57.7417144,2,20,12.4906712,No Lapse
700357,WB,Y,Y,SILVER ,ETOBICOKE,Canada,30,27-34,MALE  ,234.0349,234.0349,234.0349,0,234.0349,234.0349,234.0349,0,-16,-16,-16,0,1,1,1,0,0,0,18.722792,0,0,18.722792,0,0,0,1 Month Lapsed
700361,WB,Y,Y,GOLD   ,NORTH YORK,Canada,45,43-50,MALE  ,266.7323554,272.16041,272.16041,272.16041,3467.52062,544.32082,544.32082,544.32082,4159.26,1757.26,1757.26,1757.26,13,2,2,2,12,242,35.4016496,2,52,-8.4543344,2,52,-8.4543344,No Lapse
700363,WB,Y,N,GOLD   ,BRAMPTON,Canada,53,51-58,FEMALE,285.5063244,292.828554,407.400808,293.47576,5139.11384,2928.28554,2037.00404,586.95152,3630.31,1824.31,2551.31,69.07,18,10,5,2,1,40,371.1291072,0,0,162.9603232,0,0,46.9561216,No Lapse
700376,WB,Y,N,SILVER ,KITCHENER,Canada,68,67-74,MALE  ,505.76852,0,0,0,2528.8426,0,0,0,3915,0,0,0,5,0,0,0,1,50,152.307408,0,0,0,0,0,0,6 Month Lasped
700385,WB,N,Y,GOLD   ,TORONTO,Canada,39,35-42,MALE  ,267.7456333,267.7456333,0,0,803.2369,803.2369,0,0,2623,2623,0,0,3,3,0,0,1,10,54.258952,0,0,0,0,0,0,3 Month Lapsed
700387,WB,Y,N,REWARDS,WOODBRIDGE,Canada,66,59-66,FEMALE,393.3961,0,0,0,393.3961,0,0,0,799,0,0,0,1,0,0,0,0,0,31.471688,0,0,0,0,0,0,6 Month Lasped
700396,WB,Y,Y,GOLD   ,BRAMPTON,Canada,38,35-42,MALE  ,1699.654515,1800.404277,1446.749674,1161.632,110477.5435,79217.78817,34721.99217,5808.16,170984.25,114572.25,45087.25,12782.85,65,44,24,5,10,2140,6698.203478,5,1723,1054.759374,1,945,-480.3472,No Lapse
700416,WB,Y,Y,GOLD   ,MISSISSAUGA,Canada,63,59-66,FEMALE,443.4118,0,0,0,443.4118,0,0,0,1842,0,0,0,1,0,0,0,1,25,10.472944,0,0,0,0,0,0,6 Month Lasped
700421,WB,N,N,GOLD   ,CAMBRIDGE,Canada,65,59-66,MALE  ,280.7952735,292.8045322,343.2730725,337.3168475,6458.29129,2635.24079,1373.09229,674.633695,4420.14,5981.14,2516.14,1059.58,23,9,4,2,15,457,59.6633032,2,59,50.8473832,1,44,9.9706956,No Lapse
700424,WB,Y,N,GOLD   ,MISSISSAUGA,Canada,56,51-58,MALE  ,237.6948943,123.8984154,45.496,0,8319.3213,1610.6794,90.992,0,4898,2826,581,0,35,13,2,0,15,289,376.545704,1,25,-17.72064,0,0,0,1 Month Lapsed
700431,WB,Y,N,GOLD   ,ETOBICOKE,Canada,46,43-50,FEMALE,2684.414917,2427.366333,1676.0183,0,16106.4895,7282.099,1676.0183,0,26857,10096,11956,0,6,3,1,0,13,399,889.51916,2,115,19.081464,0,0,0,1 Month Lapsed
700440,WB,Y,Y,GOLD   ,NORTH YORK,Canada,51,51-58,FEMALE,342.3853556,19.9121,0,0,3081.4682,19.9121,0,0,4421,192,0,0,9,1,0,0,4,148,98.517456,0,0,0,0,0,0,3 Month Lapsed
700445,WB,N,Y,REWARDS,MARKHAM,Canada,36,35-42,MALE  ,267.5336094,258.2543065,250.2202017,252.1062279,21135.15514,9555.40934,5755.06464,1764.743595,20849.13,10555.13,6870.13,2417.46,79,37,23,7,36,1066,624.8124112,9,268,192.4051712,2,73,68.1794876,No Lapse
700454,WB,Y,N,GOLD   ,RICHMOND HILL,Canada,64,59-66,MALE  ,333.9456958,365.5766417,326.04195,249.20395,4007.34835,2193.45985,978.12585,249.20395,3796.62,1462.62,733.62,-262.38,12,6,3,1,5,75,245.587868,1,15,63.250068,0,0,19.936316,No Lapse
700457,WB,Y,Y,GOLD   ,TORONTO,Canada,61,59-66,FEMALE,235.7564,235.7564,0,0,471.5128,471.5128,0,0,413,413,0,0,2,2,0,0,1,30,7.721024,0,0,0,0,0,0,3 Month Lapsed
700458,WB,Y,Y,SILVER ,EVERETT,Canada,61,59-66,MALE  ,359.2571422,307.9473467,332.69692,368.859495,3233.31428,1847.68408,1330.78768,737.71899,6300.13,4178.13,2645.13,1679.19,9,6,4,2,3,210,48.6651424,2,120,-13.5369856,1,30,29.0175192,No Lapse
700459,WB,Y,N,GOLD   ,NORTH YORK,Canada,76,75+,MALE  ,324.0435824,395.8435,363.09525,0,5508.7409,1583.374,726.1905,0,4797,3547,1265,0,17,4,2,0,10,352,88.699272,2,88,-29.90476,0,0,0,No Lapse
700461,WB,Y,N,GOLD   ,MISSISSAUGA,Canada,67,67-74,FEMALE,186.2345321,225.7287341,258.516625,343.1260084,7263.14675,4966.03215,3619.23275,1715.630042,8148.89,4597.89,2372.89,1508.21,39,22,14,5,8,316,265.05174,3,118,171.53862,0,0,137.2504034,No Lapse
700464,WB,Y,Y,GOLD   ,ETOBICOKE,Canada,87,75+,FEMALE,269.91374,186.6119,0,0,1349.5687,373.2238,0,0,1390,590,0,0,5,2,0,0,9,182,-74.034504,0,0,0,0,0,0,3 Month Lapsed
700473,WB,Y,Y,GOLD   ,SCARBOROUGH,Canada,37,35-42,FEMALE,1042.186529,1014.412821,1099.354359,1223.223365,191762.3213,96369.218,53868.3636,20794.7972,47846.81,23988.81,3791.81,1058.06,184,95,49,17,60,3737,11603.9857,29,1393,2916.469088,12,180,1483.583776,No Lapse
700477,WB,Y,N,GOLD   ,TORONTO,Canada,62,59-66,MALE  ,237.7778667,237.7778667,258.8606,0,713.3336,713.3336,517.7212,0,1844,1844,1535,0,3,3,2,0,0,0,57.066688,0,0,41.417696,0,0,0,1 Month Lapsed
700478,WB,Y,N,SILVER ,NORTH YORK,Canada,63,59-66,MALE  ,308.1924731,324.7147543,452.1908338,0,12944.08387,5195.436069,2260.954169,0,12324.42,5550.42,2465.42,0,42,16,5,0,2,65,970.5267095,0,0,180.8763335,0,0,0,1 Month Lapsed
700491,WB,Y,N,GOLD   ,BRAMPTON,Canada,40,35-42,FEMALE,335.6856471,354.2157177,369.3325354,109.8776563,15105.85412,6375.882919,3323.992819,329.632969,18041.83,8660.83,3351.83,264.93,45,18,9,3,54,560,648.4683295,12,120,145.9194255,3,30,-3.62936248,No Lapse
700497,WB,Y,Y,SILVER ,MARKHAM,Canada,55,51-58,FEMALE,256.5823667,261.505375,381.8009,0,3078.9884,1046.0215,381.8009,0,2322,103,418,0,12,4,1,0,8,183,63.319072,1,26,4.544072,0,0,0,1 Month Lapsed
700521,WB,Y,N,GOLD   ,ETOBICOKE,Canada,84,75+,FEMALE,293.267,184.7026,0,0,586.534,184.7026,0,0,1974,965,0,0,2,1,0,0,0,0,46.92272,0,0,0,0,0,0,3 Month Lapsed
700530,WB,Y,N,GOLD   ,NORTH YORK,Canada,74,67-74,MALE  ,353.989275,429.41705,585.2722,0,1415.9571,858.8341,585.2722,0,2456,731,336,0,4,2,1,0,0,0,113.276568,0,0,46.821776,0,0,0,1 Month Lapsed
700547,WB,Y,Y,SILVER ,WOODBRIDGE,Canada,58,51-58,FEMALE,386.7095,0,0,0,773.419,0,0,0,3537,0,0,0,2,0,0,0,0,0,61.87352,0,0,0,0,0,0,6 Month Lasped
700549,WB,Y,N,GOLD   ,ETOBICOKE,Canada,66,59-66,MALE  ,186.8032451,217.6774865,250.0477376,242.7120054,4296.474638,2612.129838,2250.429638,1213.560027,6254.74,3614.74,2889.74,1233.98,23,12,9,5,11,169,174.717971,5,65,115.034371,2,20,77.08480216,No Lapse
700555,WB,Y,N,SILVER ,ETOBICOKE,Canada,78,75+,FEMALE,263.0835686,241.1397221,307.832631,243.309035,2893.919255,1687.978055,1539.163155,243.309035,6007.58,3794.58,2968.58,1349.3,11,7,5,1,4,116,115.5135404,0,0,123.1330524,0,0,19.4647228,No Lapse
700562,WB,Y,N,GOLD   ,MARKHAM,Canada,36,35-42,MALE  ,1504.5781,1504.5781,0,0,1504.5781,1504.5781,0,0,2550,2550,0,0,1,1,0,0,0,0,120.366248,0,0,0,0,0,0,3 Month Lapsed
700575,WB,Y,Y,GOLD   ,MISSISSAUGA,Canada,61,59-66,FEMALE,272.04854,27.36,27.36,27.36,1360.2427,27.36,27.36,27.36,-450.84,125.16,125.16,125.16,5,1,1,1,8,212,-103.180584,1,30,-27.8112,1,30,-27.8112,No Lapse
700578,WB,Y,Y,GOLD   ,NORTH YORK,Canada,53,51-58,FEMALE,358.3372978,439.5725246,432.51086,432.51086,12900.14272,5714.44282,865.02172,865.02172,8716.31,5411.31,648.31,648.31,36,13,2,2,36,1123,-90.9885824,4,115,-45.7982624,4,115,-45.7982624,No Lapse
700579,WB,Y,Y,GOLD   ,MISSISSAUGA,Canada,44,43-50,FEMALE,339.1450018,167.513104,123.4001053,148.60854,3052.305016,670.052416,370.200316,148.60854,2939.37,1924.37,976.37,820.34,9,4,3,1,2,40,204.1844013,1,20,9.61602528,0,0,11.8886832,No Lapse
700595,WB,Y,Y,GOLD   ,ETOBICOKE,Canada,63,59-66,MALE  ,2066.689556,2472.494454,2687.071373,998.4489,111601.236,69229.8447,29557.7851,1996.8978,13240.25,11988.25,9534.25,9513.25,54,28,11,2,30,636,8292.09888,5,137,2227.622808,2,61,98.751824,No Lapse
700602,WB,Y,N,SILVER ,MARKHAM,Canada,67,67-74,MALE  ,239.299315,245.07265,188.519125,176.67611,2392.99315,1225.36325,377.03825,176.67611,3821.99,1461.99,703.99,584.91,10,5,2,1,10,189,2.439452,2,30,0.16306,1,10,4.1340888,No Lapse
700616,WB,Y,N,GOLD   ,RICHMOND HILL,Canada,84,75+,FEMALE,436.0986518,361.4450385,334.276537,428.95824,17443.94607,7228.90077,3342.76537,857.91648,2318.32,-270.68,3736.32,1064.36,40,20,10,2,15,753,642.5156856,3,222,45.4212296,2,189,-120.3666816,No Lapse
700617,WB,Y,Y,GOLD   ,BRAMPTON,Canada,42,35-42,FEMALE,243.0454738,263.0123475,263.0123475,281.24155,1944.36379,1052.04939,1052.04939,281.24155,4872.28,3971.28,3971.28,654.61,8,4,4,1,0,0,155.5491032,0,0,84.1639512,0,0,22.499324,No Lapse
700632,WB,Y,Y,GOLD   ,MISSISSAUGA,Canada,53,51-58,FEMALE,1110.3575,1110.3575,1110.3575,1110.3575,1110.3575,1110.3575,1110.3575,1110.3575,-2176.25,-2176.25,-2176.25,-2176.25,1,1,1,1,2,37,51.8286,2,37,51.8286,2,37,51.8286,No Lapse
700638,WB,Y,N,SILVER ,RICHMOND HILL,Canada,68,67-74,FEMALE,243.2170134,126.4834783,118.9827696,146.368962,6323.642348,885.384348,594.913848,585.475848,2779.3,2491.3,1439.3,1421.8,26,7,5,4,21,390,115.8913878,1,26,21.59310784,1,26,20.83806784,No Lapse
700644,WB,Y,Y,SILVER ,MISSISSAUGA,Canada,60,59-66,FEMALE,298.78042,250.687,250.687,0,1493.9021,501.374,501.374,0,1167.54,72.54,72.54,0,5,2,2,0,1,60,59.512168,0,0,40.10992,0,0,0,1 Month Lapsed
700652,WB,Y,N,GOLD   ,TORONTO,Canada,76,75+,MALE  ,485.9048508,511.8842513,412.6397275,306.536215,5830.85821,4095.07401,1650.55891,613.07243,7343,9657,-1786,-3093,12,8,4,2,6,234,232.4686568,3,124,8.0447128,1,60,-10.9542056,No Lapse
700664,WB,N,N,GOLD   ,BRAMPTON,Canada,56,51-58,MALE  ,488.766985,564.2511925,595.9007233,318.3197,12707.94161,6771.01431,5363.10651,318.3197,15368.32,12495.32,11775.32,2601,26,12,9,1,0,0,1016.635329,0,0,429.0485208,0,0,25.465576,No Lapse
700668,WB,N,N,REWARDS,MISSISSAUGA,Canada,50,43-50,MALE  ,357.2897366,344.9364097,349.027929,0,3215.607629,1034.809229,349.027929,0,5336.28,2056.28,778.28,0,9,3,1,0,0,0,257.2486103,0,0,27.92223432,0,0,0,1 Month Lapsed
700670,WB,Y,N,SILVER ,MISSISSAUGA,Canada,84,75+,FEMALE,187.1049128,152.4975201,139.63029,146.9082404,26381.79271,12199.80161,5445.58131,1909.807125,29457.01,13102.01,6833.01,3933.5,141,80,39,13,26,1514,596.5434168,3,206,229.6465048,1,86,66.78457,No Lapse
700672,WB,Y,N,REWARDS,SCARBOROUGH,Canada,63,59-66,FEMALE,234.4296667,201.17325,0,0,703.289,402.3465,0,0,-442,105,0,0,3,2,0,0,0,0,56.26312,0,0,0,0,0,0,3 Month Lapsed
700682,WB,Y,Y,GOLD   ,SCARBOROUGH,Canada,68,67-74,FEMALE,249.0382667,72.2073,0,0,747.1148,72.2073,0,0,3204,401,0,0,3,1,0,0,2,40,19.769184,0,0,0,0,0,0,3 Month Lapsed
700694,WB,N,Y,GOLD   ,KING,Canada,29,27-34,MALE  ,1461.670224,1221.476049,1491.599838,1737.824019,314259.0983,111154.3205,73088.39207,33018.65636,409365.54,120545.54,82244.54,30888.26,215,91,49,19,339,8693,16447.72786,66,1897,3950.071365,32,538,2103.492509,No Lapse
